"REF_DATE","GEO","DGUID","Tenure including social and affordable housing","Housing suitability and dwelling condition","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada (provinces only)","2021A000011124","Renter","Total, housing suitability","Percentage of households","Percent","239","units","0","v1594709447","1.3.1.4","100.0","","","","1"
"2022","Canada (provinces only)","2021A000011124","Renter","Total, housing suitability","Percentage of households","Percent","239","units","0","v1594709447","1.3.1.4","100.0","","","","1"
"2018","Canada (provinces only)","2021A000011124","Renter","Suitable","Number of households","Number","223","units","0","v1594709427","1.3.2.1","4181200","","","","0"
"2021","Canada (provinces only)","2021A000011124","Renter","Suitable","Number of households","Number","223","units","0","v1594709427","1.3.2.1","4406800","","","","0"
"2022","Canada (provinces only)","2021A000011124","Renter","Suitable","Number of households","Number","223","units","0","v1594709427","1.3.2.1","4851200","","","","0"
"2018","Canada (provinces only)","2021A000011124","Renter","Suitable","Percentage of households","Percent","239","units","0","v1594709448","1.3.2.4","91.0","","","","1"
"2021","Canada (provinces only)","2021A000011124","Renter","Suitable","Percentage of households","Percent","239","units","0","v1594709448","1.3.2.4","90.8","","","","1"
"2022","Canada (provinces only)","2021A000011124","Renter","Suitable","Percentage of households","Percent","239","units","0","v1594709448","1.3.2.4","90.7","","","","1"
"2018","Canada (provinces only)","2021A000011124","Renter","Not suitable","Number of households","Number","223","units","0","v1594709428","1.3.3.1","413100","","","","0"
"2021","Canada (provinces only)","2021A000011124","Renter","Not suitable","Number of households","Number","223","units","0","v1594709428","1.3.3.1","446100","","","","0"
"2022","Canada (provinces only)","2021A000011124","Renter","Not suitable","Number of households","Number","223","units","0","v1594709428","1.3.3.1","494600","","","","0"
"2018","Canada (provinces only)","2021A000011124","Renter","Not suitable","Percentage of households","Percent","239","units","0","v1594709449","1.3.3.4","9.0","","","","1"
"2021","Canada (provinces only)","2021A000011124","Renter","Not suitable","Percentage of households","Percent","239","units","0","v1594709449","1.3.3.4","9.2","","","","1"
"2022","Canada (provinces only)","2021A000011124","Renter","Not suitable","Percentage of households","Percent","239","units","0","v1594709449","1.3.3.4","9.3","","","","1"
