businessoperator,detailurl,streetnumber,street,totaloutstanding,totalunits,geom,geolocalarea,geo_point_2d,violation_rate,city
Provincial Rental Housing Corporation,http://app.vancouver.ca/RPS_Net/Default.aspx?num=341&street=GORE%20AVENUE,341,GORE AVENUE,2,27.0,"{""coordinates"":[-123.09778996,49.28159583],""type"":""Point""}",Strathcona,"49.28159583, -123.09778996",0.07407407133058995,Vancouver
George Fu,http://app.vancouver.ca/RPS_Net/Default.aspx?num=445&street=GORE%20AVENUE,445,GORE AVENUE,4,24.0,"{""coordinates"":[-123.09763888,49.28048787],""type"":""Point""}",Strathcona,"49.28048787, -123.09763888",0.1666666597222225,Vancouver
Fan Tower South Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=609&street=GORE%20AVENUE,609,GORE AVENUE,3,51.0,"{""coordinates"":[-123.09742793,49.27916523],""type"":""Point""}",Strathcona,"49.27916523, -123.09742793",0.05882352825836219,Vancouver
Community Builders Benevolence Group,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1025&street=GRANVILLE%20STREET,1025,GRANVILLE STREET,3,79.0,"{""coordinates"":[-123.12384062,49.27910653],""type"":""Point""}",Downtown,"49.27910653, -123.12384062",0.03797468306361161,Vancouver
Provincial Rental Housing Corporation,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1161&street=GRANVILLE%20STREET,1161,GRANVILLE STREET,2,93.0,"{""coordinates"":[-123.12594954,49.27771178],""type"":""Point""}",Downtown,"49.27771178, -123.12594954",0.02150537611284542,Vancouver
Dranly Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2414&street=GRANVILLE%20STREET,2414,GRANVILLE STREET,1,12.0,"{""coordinates"":[-123.13812846,49.2642284],""type"":""Point""}",Fairview,"49.2642284, -123.13812846",0.08333332638888948,Vancouver
Choo Bros Investments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2930&street=GRANVILLE%20STREET,2930,GRANVILLE STREET,1,6.0,"{""coordinates"":[-123.13831253,49.25931681],""type"":""Point""}",Fairview,"49.25931681, -123.13831253",0.16666663888889352,Vancouver
Community Builders Benevolence Group,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1306&street=GRANVILLE%20STREET,1306,GRANVILLE STREET,1,43.0,"{""coordinates"":[-123.12773475,49.27585292],""type"":""Point""}",Downtown,"49.27585292, -123.12773475",0.023255813412655504,Vancouver
0966691 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8747&street=GRANVILLE%20STREET,8747,GRANVILLE STREET,2,13.0,"{""coordinates"":[-123.14101081,49.20648121],""type"":""Point""}",Marpole,"49.20648121, -123.14101081",0.15384614201183525,Vancouver
Siesta Rooms 1995 Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=936&street=GRANVILLE%20STREET,936,GRANVILLE STREET,1,71.0,"{""coordinates"":[-123.12178316,49.27967588],""type"":""Point""}",Downtown,"49.27967588, -123.12178316",0.014084506843880186,Vancouver
Regal Eighty Management Corp,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1046&street=GRANVILLE%20STREET,1046,GRANVILLE STREET,4,82.0,"{""coordinates"":[-123.12339324,49.27860382],""type"":""Point""}",Downtown,"49.27860382, -123.12339324",0.04878048720999406,Vancouver
Jutta Ahmed,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1130&street=GRANVILLE%20STREET,1130,GRANVILLE STREET,4,6.0,"{""coordinates"":[-123.12489479,49.27762118],""type"":""Point""}",Downtown,"49.27762118, -123.12489479",0.6666665555555741,Vancouver
Atira Women's Resource Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1176&street=GRANVILLE%20STREET,1176,GRANVILLE STREET,10,110.0,"{""coordinates"":[-123.1253448,49.27732807],""type"":""Point""}",Downtown,"49.27732807, -123.1253448",0.09090909008264464,Vancouver
101181499 SASKATCHEWAN LTD,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8732&street=GRANVILLE%20STREET,8732,GRANVILLE STREET,3,10.0,"{""coordinates"":[-123.14020494,49.20662435],""type"":""Point""}",Marpole,"49.20662435, -123.14020494",0.299999970000003,Vancouver
BC1350175,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8733&street=GRANVILLE%20STREET,8733,GRANVILLE STREET,2,8.0,"{""coordinates"":[-123.1410079,49.20666337],""type"":""Point""}",Marpole,"49.20666337, -123.1410079",0.24999996875000394,Vancouver
William Nemetz Investments Limited,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8770&street=GRANVILLE%20STREET,8770,GRANVILLE STREET,1,47.0,"{""coordinates"":[-123.1402206,49.20648489],""type"":""Point""}",Marpole,"49.20648489, -123.1402206",0.021276595291987336,Vancouver
Riste Investments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=553&street=HAMILTON%20STREET,553,HAMILTON STREET,6,28.0,"{""coordinates"":[-123.11229837,49.28159625],""type"":""Point""}",Downtown,"49.28159625, -123.11229837",0.21428570663265334,Vancouver
Arkhu Investment Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1122&street=HARO%20STREET,1122,HARO STREET,4,84.0,"{""coordinates"":[-123.12661468,49.28399595],""type"":""Point""}",West End,"49.28399595, -123.12661468",0.0476190470521542,Vancouver
Laurentian Towers Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1636&street=HARO%20STREET,1636,HARO STREET,2,41.0,"{""coordinates"":[-123.13424156,49.28891573],""type"":""Point""}",West End,"49.28891573, -123.13424156",0.048780486615110086,Vancouver
Plan A - 1431 Haro Street Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1431&street=HARO%20STREET,1431,HARO STREET,4,6.0,"{""coordinates"":[-123.13125854,49.28772913],""type"":""Point""}",West End,"49.28772913, -123.13125854",0.6666665555555741,Vancouver
IMH 1629 Haro Apartments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1629&street=HARO%20STREET,1629,HARO STREET,1,40.0,"{""coordinates"":[-123.13367947,49.28930049],""type"":""Point""}",West End,"49.28930049, -123.13367947",0.024999999375000016,Vancouver
IMH 1755 Haro Apartments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1755&street=HARO%20STREET,1755,HARO STREET,5,137.0,"{""coordinates"":[-123.13554165,49.29053218],""type"":""Point""}",West End,"49.29053218, -123.13554165",0.03649635009856679,Vancouver
Mason Investments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1955&street=HARO%20STREET,1955,HARO STREET,1,70.0,"{""coordinates"":[-123.13878984,49.29260655],""type"":""Point""}",West End,"49.29260655, -123.13878984",0.014285714081632657,Vancouver
Haro Towers Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1131&street=HARO%20STREET,1131,HARO STREET,1,12.0,"{""coordinates"":[-123.12654299,49.28467427],""type"":""Point""}",West End,"49.28467427, -123.12654299",0.08333332638888948,Vancouver
Plan A 1425 Haro Street Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1425&street=HARO%20STREET,1425,HARO STREET,1,16.0,"{""coordinates"":[-123.13111104,49.28764475],""type"":""Point""}",West End,"49.28764475, -123.13111104",0.06249999609375024,Vancouver
James F Wong & Mary S Wong,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1225&street=HARWOOD%20STREET,1225,HARWOOD STREET,2,6.0,"{""coordinates"":[-123.13582751,49.28093277],""type"":""Point""}",West End,"49.28093277, -123.13582751",0.33333327777778704,Vancouver
Harwood Place Apartments Limited,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1122&street=HARWOOD%20STREET,1122,HARWOOD STREET,2,39.0,"{""coordinates"":[-123.13429324,49.27920733],""type"":""Point""}",West End,"49.27920733, -123.13429324",0.05128204996712693,Vancouver
Otrun Kneifel & Walter Kneifel,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2820&street=HEATHER%20STREET,2820,HEATHER STREET,1,20.0,"{""coordinates"":[-123.11974713,49.26017973],""type"":""Point""}",Fairview,"49.26017973, -123.11974713",0.04999999750000012,Vancouver
Netty Prosterman,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8575&street=HEATHER%20STREET,8575,HEATHER STREET,4,21.0,"{""coordinates"":[-123.1248658,49.20861461],""type"":""Point""}",Marpole,"49.20861461, -123.1248658",0.19047618140589612,Vancouver
Fairbridge Enterprises Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8666&street=HEATHER%20STREET,8666,HEATHER STREET,5,23.0,"{""coordinates"":[-123.12385254,49.20771083],""type"":""Point""}",Marpole,"49.20771083, -123.12385254",0.21739129489603065,Vancouver
Mona Lee,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2555&street=HEMLOCK%20STREET,2555,HEMLOCK STREET,3,24.0,"{""coordinates"":[-123.13647939,49.26284872],""type"":""Point""}",Fairview,"49.26284872, -123.13647939",0.12499999479166687,Vancouver
McLaren Housing Society of British Columbia,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1249&street=HOWE%20STREET,1249,HOWE STREET,1,110.0,"{""coordinates"":[-123.12818713,49.27749639],""type"":""Point""}",Downtown,"49.27749639, -123.12818713",0.009090909008264463,Vancouver
Beng Kim Yeung (Beng Yeung),http://app.vancouver.ca/RPS_Net/Default.aspx?num=8619&street=HUDSON%20STREET,8619,HUDSON STREET,2,10.0,"{""coordinates"":[-123.1350487,49.20829758],""type"":""Point""}",Marpole,"49.20829758, -123.1350487",0.19999998000000202,Vancouver
Gene Lee & Shirley Lee,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8667&street=HUDSON%20STREET,8667,HUDSON STREET,1,37.0,"{""coordinates"":[-123.13510139,49.20754542],""type"":""Point""}",Marpole,"49.20754542, -123.13510139",0.027027026296566857,Vancouver
Whistler Valley Construction Corp Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=830&street=JACKSON%20AVENUE,830,JACKSON AVENUE,2,11.0,"{""coordinates"":[-123.09345978,49.27689726],""type"":""Point""}",Strathcona,"49.27689726, -123.09345978",0.1818181652892577,Vancouver
Zoro Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1075&street=JERVIS%20STREET,1075,JERVIS STREET,1,37.0,"{""coordinates"":[-123.13272719,49.28451165],""type"":""Point""}",West End,"49.28451165, -123.13272719",0.027027026296566857,Vancouver
Amon Investments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1100&street=JERVIS%20STREET,1100,JERVIS STREET,1,109.0,"{""coordinates"":[-123.13301695,49.28330415],""type"":""Point""}",West End,"49.28330415, -123.13301695",0.009174311842437506,Vancouver
S A H Properties Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=610&street=JERVIS%20STREET,610,JERVIS STREET,1,50.0,"{""coordinates"":[-123.12584381,49.28854661],""type"":""Point""}",Downtown,"49.28854661, -123.12584381",0.01999999960000001,Vancouver
0811930 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1209&street=JERVIS%20STREET,1209,JERVIS STREET,3,45.0,"{""coordinates"":[-123.13542495,49.28272208],""type"":""Point""}",West End,"49.28272208, -123.13542495",0.06666666518518523,Vancouver
Pacific Investment Corporation Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1210&street=JERVIS%20STREET,1210,JERVIS STREET,1,84.0,"{""coordinates"":[-123.13484092,49.28234003],""type"":""Point""}",West End,"49.28234003, -123.13484092",0.01190476176303855,Vancouver
1112152 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=5187&street=JOYCE%20STREET,5187,JOYCE STREET,3,5.0,"{""coordinates"":[-123.03273733,49.23774453],""type"":""Point""}",Renfrew-Collingwood,"49.23774453, -123.03273733",0.599999880000024,Vancouver
Vishi Construction Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=968&street=KINGSWAY,968,KINGSWAY,1,44.0,"{""coordinates"":[-123.08462663,49.25388139],""type"":""Point""}",Kensington-Cedar Cottage,"49.25388139, -123.08462663",0.022727272210743815,Vancouver
Superior Holdings Co Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2535&street=KINGSWAY,2535,KINGSWAY,2,10.0,"{""coordinates"":[-123.0532568,49.23999952],""type"":""Point""}",Renfrew-Collingwood,"49.23999952, -123.0532568",0.19999998000000202,Vancouver
687430 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2576&street=KINGSWAY,2576,KINGSWAY,1,8.0,"{""coordinates"":[-123.05280494,49.23908189],""type"":""Point""}",Renfrew-Collingwood,"49.23908189, -123.05280494",0.12499998437500197,Vancouver
City of Vancouver,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3484&street=KINGSWAY,3484,KINGSWAY,7,123.0,"{""coordinates"":[-123.03124616,49.23140021],""type"":""Point""}",Killarney,"49.23140021, -123.03124616",0.056910568643003506,Vancouver
Shane Kit Chung Cheung (Shane Cheung),http://app.vancouver.ca/RPS_Net/Default.aspx?num=3611&street=KINGSWAY,3611,KINGSWAY,2,7.0,"{""coordinates"":[-123.02555193,49.23248561],""type"":""Point""}",Renfrew-Collingwood,"49.23248561, -123.02555193",0.285714244897965,Vancouver
1096329 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=7849&street=KNIGHT%20STREET,7849,KNIGHT STREET,1,12.0,"{""coordinates"":[-123.07751815,49.21330929],""type"":""Point""}",Sunset,"49.21330929, -123.07751815",0.08333332638888948,Vancouver
David Hsing Sheng Hsu (David Hsu),http://app.vancouver.ca/RPS_Net/Default.aspx?num=8680&street=LAUREL%20STREET,8680,LAUREL STREET,4,28.0,"{""coordinates"":[-123.12594167,49.20699836],""type"":""Point""}",Marpole,"49.20699836, -123.12594167",0.14285713775510223,Vancouver
HOGAN'S ALLEY SOCIETY,http://app.vancouver.ca/RPS_Net/Default.aspx?num=796&street=MAIN%20STREET,796,MAIN STREET,1,23.0,"{""coordinates"":[-123.0993605,49.27778623],""type"":""Point""}",Strathcona,"49.27778623, -123.0993605",0.04347825897920613,Vancouver
ThePorter Residences Development Limited Partnership,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2339&street=MAIN%20STREET,2339,MAIN STREET,1,29.0,"{""coordinates"":[-123.10141092,49.26399911],""type"":""Point""}",Mount Pleasant,"49.26399911, -123.10141092",0.034482757431629055,Vancouver
Kevington Building Corporation Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=4453&street=MAIN%20STREET,4453,MAIN STREET,1,79.0,"{""coordinates"":[-123.10168308,49.24519925],""type"":""Point""}",Riley Park,"49.24519925, -123.10168308",0.012658227687870536,Vancouver
MID-MAIN HOLDINGS LTD.,http://app.vancouver.ca/RPS_Net/Default.aspx?num=4655&street=MAIN%20STREET,4655,MAIN STREET,4,10.0,"{""coordinates"":[-123.10176392,49.24278359],""type"":""Point""}",Riley Park,"49.24278359, -123.10176392",0.39999996000000404,Vancouver
Affordable Housing Charitable Association,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1129&street=MAIN%20STREET,1129,MAIN STREET,1,29.0,"{""coordinates"":[-123.10047839,49.27455606],""type"":""Point""}",Downtown,"49.27455606, -123.10047839",0.034482757431629055,Vancouver
Teddy Lai & YanHong Chen,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3616&street=MAIN%20STREET,3616,MAIN STREET,3,6.0,"{""coordinates"":[-123.10057308,49.25263361],""type"":""Point""}",Riley Park,"49.25263361, -123.10057308",0.49999991666668053,Vancouver
Affordable Housing Advisory Association,http://app.vancouver.ca/RPS_Net/Default.aspx?num=375&street=MAIN%20STREET,375,MAIN STREET,5,76.0,"{""coordinates"":[-123.10011042,49.28158604],""type"":""Point""}",Downtown,"49.28158604, -123.10011042",0.06578947281855957,Vancouver
Shun Chi Company Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=507&street=MAIN%20STREET,507,MAIN STREET,5,30.0,"{""coordinates"":[-123.100152,49.28012653],""type"":""Point""}",Downtown,"49.28012653, -123.100152",0.16666666111111128,Vancouver
International Business Travelers Hostel Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1038&street=MAIN%20STREET,1038,MAIN STREET,2,104.0,"{""coordinates"":[-123.09953914,49.27518738],""type"":""Point""}",Strathcona,"49.27518738, -123.09953914",0.01923076904585799,Vancouver
ThePorter Residences Development Limited Partnership,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2333&street=MAIN%20STREET,2333,MAIN STREET,1,8.0,"{""coordinates"":[-123.10141534,49.26410701],""type"":""Point""}",Mount Pleasant,"49.26410701, -123.10141534",0.12499998437500197,Vancouver
COLLINGWOOD INVESTMENT 2018 LTD.,http://app.vancouver.ca/RPS_Net/Default.aspx?num=4339&street=MAIN%20STREET,4339,MAIN STREET,1,11.0,"{""coordinates"":[-123.10158326,49.24683109],""type"":""Point""}",Riley Park,"49.24683109, -123.10158326",0.09090908264462885,Vancouver
4355 Main Street Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=4355&street=MAIN%20STREET,4355,MAIN STREET,2,6.0,"{""coordinates"":[-123.10159793,49.24654638],""type"":""Point""}",Riley Park,"49.24654638, -123.10159793",0.33333327777778704,Vancouver
Li-Wah Ng & Sik-Wah Ng,http://app.vancouver.ca/RPS_Net/Default.aspx?num=4515&street=MAIN%20STREET,4515,MAIN STREET,4,7.0,"{""coordinates"":[-123.10170576,49.2442134],""type"":""Point""}",Riley Park,"49.2442134, -123.10170576",0.57142848979593,Vancouver
Huntly Investments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1218&street=MELVILLE%20STREET,1218,MELVILLE STREET,1,6.0,"{""coordinates"":[-123.1248631,49.28791398],""type"":""Point""}",Downtown,"49.28791398, -123.1248631",0.16666663888889352,Vancouver
Metro Maywood Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8938&street=MONTCALM%20STREET,8938,MONTCALM STREET,10,20.0,"{""coordinates"":[-123.1363222,49.20422785],""type"":""Point""}",Marpole,"49.20422785, -123.1363222",0.4999999750000012,Vancouver
Monarch Properties Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8643&street=MONTCALM%20STREET,8643,MONTCALM STREET,2,20.0,"{""coordinates"":[-123.13661557,49.2079893],""type"":""Point""}",Marpole,"49.2079893, -123.13661557",0.09999999500000024,Vancouver
1358481 B.C. LTD.,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8668&street=MONTCALM%20STREET,8668,MONTCALM STREET,1,10.0,"{""coordinates"":[-123.13574582,49.20769306],""type"":""Point""}",Marpole,"49.20769306, -123.13574582",0.09999999000000101,Vancouver
675000 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8770&street=MONTCALM%20STREET,8770,MONTCALM STREET,1,21.0,"{""coordinates"":[-123.13580277,49.20601088],""type"":""Point""}",Marpole,"49.20601088, -123.13580277",0.04761904535147403,Vancouver
8860 Montcalm Street Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8860&street=MONTCALM%20STREET,8860,MONTCALM STREET,1,24.0,"{""coordinates"":[-123.13585114,49.20514234],""type"":""Point""}",Marpole,"49.20514234, -123.13585114",0.041666664930555625,Vancouver
Frank Chi-Hung Lee (Frank Lee),http://app.vancouver.ca/RPS_Net/Default.aspx?num=1747&street=NANAIMO%20STREET,1747,NANAIMO STREET,5,5.0,"{""coordinates"":[-123.0570091,49.26892851],""type"":""Point""}",Grandview-Woodland,"49.26892851, -123.0570091",0.99999980000004,Vancouver
Victor Debonis,http://app.vancouver.ca/RPS_Net/Default.aspx?num=210&street=NANAIMO%20STREET,210,NANAIMO STREET,2,24.0,"{""coordinates"":[-123.05618373,49.28271399],""type"":""Point""}",Hastings-Sunrise,"49.28271399, -123.05618373",0.08333332986111125,Vancouver
1106062 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1836&street=NAPIER%20STREET,1836,NAPIER STREET,1,5.0,"{""coordinates"":[-123.0666994,49.27457874],""type"":""Point""}",Grandview-Woodland,"49.27457874, -123.0666994",0.199999960000008,Vancouver
Industrial Alliance Insurance and Financial Services Inc.,http://app.vancouver.ca/RPS_Net/Default.aspx?num=200&street=NELSON%20STREET,200,NELSON STREET,1,9.0,"{""coordinates"":[-123.11892167,49.27587844],""type"":""Point""}",Downtown,"49.27587844, -123.11892167",0.11111109876543349,Vancouver
Westsea Construction Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1644&street=NELSON%20STREET,1644,NELSON STREET,3,276.0,"{""coordinates"":[-123.13638973,49.28752662],""type"":""Point""}",West End,"49.28752662, -123.13638973",0.010869565178008822,Vancouver
1294668 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1955&street=NELSON%20STREET,1955,NELSON STREET,1,11.0,"{""coordinates"":[-123.140712,49.29107188],""type"":""Point""}",West End,"49.29107188, -123.140712",0.09090908264462885,Vancouver
1260 Nelson Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1260&street=NELSON%20STREET,1260,NELSON STREET,1,107.0,"{""coordinates"":[-123.13165589,49.28444947],""type"":""Point""}",West End,"49.28444947, -123.13165589",0.009345794305179492,Vancouver
Shelmarjay Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1735&street=NELSON%20STREET,1735,NELSON STREET,1,62.0,"{""coordinates"":[-123.13737457,49.28890757],""type"":""Point""}",West End,"49.28890757, -123.13737457",0.01612903199791884,Vancouver
Wesley Place Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1022&street=NELSON%20STREET,1022,NELSON STREET,2,198.0,"{""coordinates"":[-123.12729773,49.28165524],""type"":""Point""}",West End,"49.28165524, -123.12729773",0.0101010100499949,Vancouver
The Bloom Group Community Services Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1115&street=NELSON%20STREET,1115,NELSON STREET,5,221.0,"{""coordinates"":[-123.12867658,49.28327763],""type"":""Point""}",West End,"49.28327763, -123.12867658",0.022624434286767265,Vancouver
Plan A-1925 Nelson St Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1925&street=NELSON%20STREET,1925,NELSON STREET,7,21.0,"{""coordinates"":[-123.14032429,49.29081824],""type"":""Point""}",West End,"49.29081824, -123.14032429",0.3333333174603182,Vancouver
Belmont Park Strand Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1999&street=NELSON%20STREET,1999,NELSON STREET,1,48.0,"{""coordinates"":[-123.14110687,49.29132597],""type"":""Point""}",West End,"49.29132597, -123.14110687",0.020833332899305567,Vancouver
V A B 19930 Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1093&street=NICOLA%20STREET,1093,NICOLA STREET,1,6.0,"{""coordinates"":[-123.13596472,49.28575347],""type"":""Point""}",West End,"49.28575347, -123.13596472",0.16666663888889352,Vancouver
HWP 852 Nicola Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=852&street=NICOLA%20STREET,852,NICOLA STREET,2,16.0,"{""coordinates"":[-123.1317802,49.28795926],""type"":""Point""}",West End,"49.28795926, -123.1317802",0.12499999218750048,Vancouver
Dranly Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1250&street=NICOLA%20STREET,1250,NICOLA STREET,3,26.0,"{""coordinates"":[-123.13806622,49.28379391],""type"":""Point""}",West End,"49.28379391, -123.13806622",0.11538461094674572,Vancouver
Kenson Investments Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3030&street=OAK%20STREET,3030,OAK STREET,1,20.0,"{""coordinates"":[-123.12650305,49.25844582],""type"":""Point""}",Fairview,"49.25844582, -123.12650305",0.04999999750000012,Vancouver
British Columbia Easter Seal Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3981&street=OAK%20STREET,3981,OAK STREET,5,49.0,"{""coordinates"":[-123.12801316,49.25015411],""type"":""Point""}",Shaughnessy,"49.25015411, -123.12801316",0.10204081424406503,Vancouver
Kwong L Tung & Mary L Tung,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2596&street=OAK%20STREET,2596,OAK STREET,2,11.0,"{""coordinates"":[-123.12636424,49.26268095],""type"":""Point""}",Fairview,"49.26268095, -123.12636424",0.1818181652892577,Vancouver
Golden Pacific Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2925&street=OAK%20STREET,2925,OAK STREET,1,7.0,"{""coordinates"":[-123.12702896,49.25937264],""type"":""Point""}",Fairview,"49.25937264, -123.12702896",0.1428571224489825,Vancouver
473788 B C Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3108&street=OAK%20STREET,3108,OAK STREET,5,22.0,"{""coordinates"":[-123.12682456,49.25762375],""type"":""Point""}",Fairview,"49.25762375, -123.12682456",0.2272727169421492,Vancouver
Ronald J Schuss Et Al (Ronald Schuss),http://app.vancouver.ca/RPS_Net/Default.aspx?num=3411&street=OAK%20STREET,3411,OAK STREET,4,15.0,"{""coordinates"":[-123.12773313,49.25515397],""type"":""Point""}",Shaughnessy,"49.25515397, -123.12773313",0.2666666488888901,Vancouver
WFC Properties (Pacific) Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1065&street=PACIFIC%20STREET,1065,PACIFIC STREET,4,30.0,"{""coordinates"":[-123.13371604,49.27820149],""type"":""Point""}",West End,"49.27820149, -123.13371604",0.13333332888888902,Vancouver
William Squibb,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1862&street=PARKER%20STREET,1862,PARKER STREET,4,5.0,"{""coordinates"":[-123.0661524,49.27546075],""type"":""Point""}",Grandview-Woodland,"49.27546075, -123.0661524",0.799999840000032,Vancouver
Coast Foundation Society (1974),http://app.vancouver.ca/RPS_Net/Default.aspx?num=1188&street=PENDRELL%20STREET,1188,PENDRELL STREET,1,31.0,"{""coordinates"":[-123.13218028,49.28215354],""type"":""Point""}",West End,"49.28215354, -123.13218028",0.032258063475546335,Vancouver
Pendrellis Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1254&street=PENDRELL%20STREET,1254,PENDRELL STREET,9,87.0,"{""coordinates"":[-123.13344925,49.28280452],""type"":""Point""}",West End,"49.28280452, -123.13344925",0.10344827467300834,Vancouver
GF II 1255 PENDRELL APARTMENTS LTD,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1255&street=PENDRELL%20STREET,1255,PENDRELL STREET,2,114.0,"{""coordinates"":[-123.13282205,49.2831753],""type"":""Point""}",West End,"49.2831753, -123.13282205",0.017543859495229304,Vancouver
Pendrell 1325 Enterprises Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1325&street=PENDRELL%20STREET,1325,PENDRELL STREET,2,20.0,"{""coordinates"":[-123.13398928,49.28393673],""type"":""Point""}",West End,"49.28393673, -123.13398928",0.09999999500000024,Vancouver
Thomas Downie Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1445&street=PENDRELL%20STREET,1445,PENDRELL STREET,1,43.0,"{""coordinates"":[-123.13576132,49.28508111],""type"":""Point""}",West End,"49.28508111, -123.13576132",0.023255813412655504,Vancouver
IMH 1454 PENDRELL APARTMENTS LTD,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1454&street=PENDRELL%20STREET,1454,PENDRELL STREET,2,51.0,"{""coordinates"":[-123.13633859,49.28470894],""type"":""Point""}",West End,"49.28470894, -123.13633859",0.0392156855055748,Vancouver
Bosa Properties (Thurlow) Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1108&street=PENDRELL%20STREET,1108,PENDRELL STREET,3,162.0,"{""coordinates"":[-123.13073597,49.28109311],""type"":""Point""}",West End,"49.28109311, -123.13073597",0.018518518404206676,Vancouver
