businessoperator,detailurl,streetnumber,street,totaloutstanding,totalunits,geom,geolocalarea,geo_point_2d,violation_rate,city
Fifth Avenue Apartments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2115&street=CYPRESS%20STREET,2115,CYPRESS STREET,1,24.0,"{""coordinates"":[-123.14847942,49.26691267],""type"":""Point""}",Kitsilano,"49.26691267, -123.14847942",0.041666664930555625,Vancouver
Brightside Community Homes Foundation,http://app.vancouver.ca/RPS_Net/Default.aspx?num=238&street=DAVIE%20STREET,238,DAVIE STREET,5,72.0,"{""coordinates"":[-123.12370772,49.27375636],""type"":""Point""}",Downtown,"49.27375636, -123.12370772",0.06944444347993829,Vancouver
Pacific Coast Tobacco Co Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1180&street=DAVIE%20STREET,1180,DAVIE STREET,1,5.0,"{""coordinates"":[-123.13321628,49.28129403],""type"":""Point""}",West End,"49.28129403, -123.13321628",0.199999960000008,Vancouver
Itziar Management Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1516&street=DAVIE%20STREET,1516,DAVIE STREET,3,83.0,"{""coordinates"":[-123.13817768,49.28450349],""type"":""Point""}",West End,"49.28450349, -123.13817768",0.03614457787777617,Vancouver
Yip C Lai & Cheuk Y Lew,http://app.vancouver.ca/RPS_Net/Default.aspx?num=676&street=DAVIE%20STREET,676,DAVIE STREET,1,8.0,"{""coordinates"":[-123.12605305,49.27685083],""type"":""Point""}",Downtown,"49.27685083, -123.12605305",0.12499998437500197,Vancouver
Wing Chan Investments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1116&street=DAVIE%20STREET,1116,DAVIE STREET,3,6.0,"{""coordinates"":[-123.13198291,49.28050749],""type"":""Point""}",West End,"49.28050749, -123.13198291",0.49999991666668053,Vancouver
Chin F Chiu (Chin Chiu),http://app.vancouver.ca/RPS_Net/Default.aspx?num=976&street=DENMAN%20STREET,976,DENMAN STREET,3,5.0,"{""coordinates"":[-123.13807379,49.28948469],""type"":""Point""}",West End,"49.28948469, -123.13807379",0.599999880000024,Vancouver
Lawrence Wong,http://app.vancouver.ca/RPS_Net/Default.aspx?num=809&street=DENMAN%20STREET,809,DENMAN STREET,1,8.0,"{""coordinates"":[-123.13589931,49.29147113],""type"":""Point""}",West End,"49.29147113, -123.13589931",0.12499998437500197,Vancouver
Concert Real Estate Corporation,http://app.vancouver.ca/RPS_Net/Default.aspx?num=600&street=DRAKE%20STREET,600,DRAKE STREET,1,191.0,"{""coordinates"":[-123.12750907,49.27532638],""type"":""Point""}",Downtown,"49.27532638, -123.12750907",0.005235602066829308,Vancouver
Society For Christian Care of Elderly,http://app.vancouver.ca/RPS_Net/Default.aspx?num=183&street=DRAKE%20STREET,183,DRAKE STREET,1,74.0,"{""coordinates"":[-123.1227076,49.27330327],""type"":""Point""}",Downtown,"49.27330327, -123.1227076",0.01351351333089847,Vancouver
