city,year,month,Avg_Max_Temp,Avg_Min_Temp,Total_Precip_mm,Total_Snow_cm,Avg_Mean_Temp
Calgary,2020,6,19.172105192898144,8.099081659973226,171.8,0.0,13.663033467202142
Calgary,2020,7,22.014940509256267,10.557175799974091,81.5,0.0,16.312613032776266
Calgary,2020,8,24.440746960869173,10.215240316103122,15.0,0.0,17.354548516647235
Calgary,2020,9,19.62,6.736666666666666,20.5,0.0,13.2
Calgary,2020,10,8.016129032258064,-1.8064516129032258,23.7,27.9,3.109677419354839
Calgary,2020,11,5.906666666666666,-6.286666666666666,17.9,18.2,-0.1966666666666666
Calgary,2020,12,3.425806451612903,-8.23225806451613,37.5,39.6,-2.4096774193548387
Calgary,2021,1,0.9903225806451613,-9.541935483870969,4.4,7.699999999999999,-4.287096774193548
Calgary,2021,2,-4.4198309399851246,-14.426475903614458,27.9,33.8,-9.439767641996557
Calgary,2021,3,9.23692689291666,-3.5497201710066073,7.4,10.9,2.8608550330353673
Calgary,2021,4,12.109385929782405,-2.4071258366800534,10.7,9.9,4.863183400267738
Calgary,2021,5,15.257470254628133,3.0672975774063995,35.0,7.8,9.186951677678456
Calgary,2021,6,22.804824456013883,8.971955823293172,30.3,0.0,15.919550200803211
Calgary,2021,7,26.448387096774194,13.193548387096774,61.9,0.0,19.838709677419356
Calgary,2021,8,22.976230831836915,10.205562896748283,76.60000000000001,0.0,16.61906464567949
Calgary,2021,9,19.979385929782403,6.242874163319946,16.2,0.0,13.139850066934404
Calgary,2021,10,12.37741935483871,-0.732258064516129,25.9,4.2,5.851612903225806
Calgary,2021,11,8.406666666666666,-4.6,3.9,3.8,1.91
Calgary,2021,12,-6.797368455049285,-16.690766938722632,22.599999999999998,25.5,-11.761435419095738
Calgary,2022,1,1.1612903225806455,-11.59032258064516,3.4000000000000004,3.6999999999999997,-5.219354838709678
Calgary,2022,2,1.6187968419245953,-9.616253585771657,24.2,32.5,-4.01135685599541
Calgary,2022,3,8.664770627979383,-3.7538346936131624,9.3,11.0,2.4734680658116335
Calgary,2022,4,7.713333333333334,-3.52,40.6,43.1,2.1133333333333333
Calgary,2022,5,15.966553412482076,3.4636274128773157,12.1,1.0,9.735193677937557
Calgary,2022,6,19.17877185956481,8.059081659973225,137.9,0.0,13.643033467202143
Calgary,2022,7,22.913751986254475,10.594996761238503,64.1,0.0,16.77683896877834
Calgary,2022,8,27.19677419354839,12.76774193548387,30.1,0.0,20.006451612903227
Calgary,2022,9,22.40666666666667,7.823333333333333,10.8,0.0,15.143333333333334
Calgary,2022,10,16.138709677419357,2.0935483870967744,29.300000000000004,24.2,9.135483870967741
Calgary,2022,11,-0.6599999999999999,-10.613333333333333,32.5,29.4,-5.653333333333333
Calgary,2022,12,-6.132258064516129,-17.325806451612905,19.1,26.1,-11.745161290322581
Calgary,2023,1,2.376825093337812,-9.41979919678715,18.3,22.4,-3.532403161031222
Calgary,2023,2,0.6428571428571429,-10.714285714285714,29.8,32.1,-5.042857142857143
Calgary,2023,3,-1.3419354838709676,-11.619354838709677,19.6,18.1,-6.503225806451613
Calgary,2023,4,11.389999999999999,-1.9733333333333334,6.1,3.7,4.716666666666667
Calgary,2023,5,22.225806451612904,7.445161290322581,30.4,0.0,14.864516129032259
Calgary,2023,6,22.986666666666668,9.51,70.1,0.0,16.27
Calgary,2023,7,24.980645161290322,11.47741935483871,42.9,0.0,18.248387096774195
Calgary,2023,8,25.432258064516127,11.293548387096775,50.7,0.0,18.39032258064516
Calgary,2023,9,19.616666666666667,7.206666666666667,18.8,0.0,13.436666666666667
Calgary,2023,10,10.770967741935483,-0.4548387096774195,36.8,16.0,5.17741935483871
Calgary,2023,11,8.086052596449072,-4.11379250334672,3.4000000000000004,5.2,1.996516733601071
Calgary,2023,12,5.961290322580646,-4.919354838709677,21.1,21.0,0.5096774193548387
Calgary,2024,1,-4.064516129032258,-14.36774193548387,27.900000000000002,28.1,-9.225806451612904
Calgary,2024,2,2.299364754947316,-9.334957762082814,18.3,21.200000000000003,-3.538086137654065
Calgary,2024,3,0.8483870967741933,-9.135483870967741,57.1,68.4,-4.151612903225806
Calgary,2024,4,10.886052596449073,-0.6837925033467201,48.4,32.300000000000004,5.113183400267738
Calgary,2024,5,15.235483870967743,3.9935483870967743,61.7,8.8,9.638709677419355
Calgary,2024,6,19.970000000000002,7.086666666666667,83.3,0.0,13.556666666666667
Calgary,2024,7,26.098811476998204,12.8345951548128,46.0,0.0,19.493258194066588
Calgary,2024,8,23.412308964305556,10.338265319341883,86.4,0.0,16.899854903484908
Calgary,2024,9,20.56543852623148,7.2590816599732255,74.0,0.0,13.933033467202142
Calgary,2024,10,14.016129032258064,0.7258064516129032,0.9,0.6,7.4
Calgary,2024,11,1.5360525964490723,-8.05379250334672,38.2,40.0,-3.253483266398929
Calgary,2024,12,2.9510186417249087,-7.048831454851665,5.6,6.0,-2.0517579997408992
Toronto,2018,1,-1.2741935483870968,-9.958064516129031,61.8,21.4,-5.622580645161291
Toronto,2018,2,2.5892857142857144,-6.221428571428571,65.4,28.8,-1.8214285714285714
Toronto,2018,3,4.058064516129032,-3.7903225806451615,32.599999999999994,8.799999999999999,0.1290322580645161
Toronto,2018,4,7.973333333333333,-1.1433333333333335,150.6,10.4,3.757275476660092
Toronto,2018,5,22.77741935483871,11.109677419354838,65.4,0.0,16.970967741935485
Toronto,2018,6,24.55666666666667,14.443333333333333,50.0,0.0,19.523333333333333
Toronto,2018,7,28.70967741935484,18.051612903225806,64.0,0.0,23.41290322580645
Toronto,2018,8,27.758064516129032,18.59032258064516,118.2,0.0,23.200000000000003
Toronto,2018,9,23.513333333333332,14.27328995793901,50.0,0.0,18.88727547666009
Toronto,2018,10,13.025806451612903,4.77741935483871,69.8,2.4,8.929032258064517
Toronto,2018,11,4.29,-1.24,105.2,15.600000000000001,1.5300000000000002
Toronto,2018,12,2.8419354838709676,-3.206451612903226,52.0,5.4,-0.18064516129032257
Toronto,2019,1,-2.267741935483871,-11.02258064516129,67.6,63.4,-6.661290322580645
Toronto,2019,2,-0.09999999999999996,-8.285714285714286,76.0,43.099999999999994,-4.203571428571428
Toronto,2019,3,3.1,-5.396774193548388,63.800000000000004,8.2,-1.1580645161290322
Toronto,2019,4,10.683333333333334,2.1666666666666665,93.4,0.4,6.4399999999999995
Toronto,2019,5,16.777574417244974,6.964474152844205,97.6,0.0,11.890911751606541
Toronto,2019,6,23.13,13.203333333333335,108.6,0.0,18.19333333333333
Toronto,2019,7,28.538709677419355,18.177419354838708,104.2,0.0,23.383870967741935
Toronto,2019,8,26.26451612903226,16.3,44.6,0.0,21.30322580645161
Toronto,2019,9,22.323333333333334,12.763333333333332,46.4,0.0,17.566666666666666
Toronto,2019,10,15.141935483870967,5.887096774193548,136.2,0.0,10.535483870967743
Toronto,2019,11,4.5233333333333325,-2.756666666666667,40.8,19.2,0.89
Toronto,2019,12,2.6838709677419352,-4.254838709677419,71.2,29.200000000000003,-0.7870967741935485
Toronto,2020,1,1.7806451612903227,-4.796774193548386,131.4,30.4,-1.5161290322580645
Toronto,2020,2,0.5379310344827587,-6.710344827586207,52.0,53.4,-3.096551724137931
Toronto,2020,3,7.293548387096774,-0.9193548387096774,53.8,6.6,3.203225806451613
Toronto,2020,4,10.716666666666667,1.0799999999999998,41.0,0.4,5.923333333333333
Toronto,2020,5,17.293548387096774,6.793548387096774,43.2,3.1999999999999997,12.067741935483872
Toronto,2020,6,26.55,14.32,49.8,0.0,20.46333333333333
Toronto,2020,7,30.351612903225806,19.51290322580645,67.6,0.0,24.958064516129035
Toronto,2020,8,27.42258064516129,16.64516129032258,91.0,0.0,22.061290322580643
Toronto,2020,9,22.03666666666667,11.53,40.800000000000004,0.0,16.806666666666665
Toronto,2020,10,13.67741935483871,4.82258064516129,60.4,0.0,9.280645161290321
Toronto,2020,11,11.133333333333333,2.496666666666667,65.8,23.4,6.84
Toronto,2020,12,2.5774193548387094,-3.1741935483870964,64.0,34.6,-0.3000000000000001
Toronto,2021,1,0.5001550624062635,-5.103267782639667,31.2,20.0,-2.3090882483934596
Toronto,2021,2,-0.25322807610041653,-7.821521518702118,45.2,39.2,-4.059409692871231
Toronto,2021,3,9.135483870967741,-2.8774193548387097,45.4,0.2,3.138709677419355
Toronto,2021,4,12.71,3.07,55.8,4.3999999999999995,7.92
Toronto,2021,5,19.661290322580644,7.487096774193549,21.799999999999997,0.2,13.603225806451613
Toronto,2021,6,27.259999999999998,16.356666666666666,80.0,0.0,21.833333333333332
Toronto,2021,7,25.271122804341747,16.425764475424852,120.4,0.0,20.86833110644525
Toronto,2021,8,28.45176796563207,18.461248346392594,57.4,0.0,23.487685945154926
Toronto,2021,9,22.64,12.59,158.0,0.0,17.64333333333333
Toronto,2021,10,16.88064516129032,10.067741935483872,101.8,0.0,13.496774193548386
Toronto,2021,11,8.426666666666666,-0.029999999999999954,38.199999999999996,15.0,4.21
Toronto,2021,12,6.1972393807671775,-0.6033517350157729,68.0,27.8,2.808219125787364
Toronto,2022,1,-1.3866315869747579,-11.748513025338353,43.0,47.8,-6.588555067761024
Toronto,2022,2,0.9289147810424406,-7.903664375844976,82.60000000000001,48.0,-3.495123978585517
Toronto,2022,3,5.232258064516128,-3.045161290322581,59.0,24.8,1.1
Toronto,2022,4,11.263493564486472,2.263289957939011,50.0,8.6,6.790608809993426
Toronto,2022,5,20.929342382877042,9.845077337946474,46.8,0.0,15.407629954825985
Toronto,2022,6,25.740000000000002,13.313333333333333,40.4,0.0,19.55
Toronto,2022,7,28.26774193548387,17.016129032258064,43.599999999999994,0.0,22.66774193548387
Toronto,2022,8,27.822580645161292,17.183870967741935,80.8,0.0,22.532258064516128
Toronto,2022,9,22.273493564486476,12.709956624605677,39.4,0.0,17.51394214332676
Toronto,2022,10,15.516129032258064,5.183870967741936,36.6,0.0,10.370967741935484
Toronto,2022,11,9.353333333333333,1.3466666666666667,55.400000000000006,13.0,5.36
Toronto,2022,12,2.42258064516129,-3.5290322580645164,95.2,14.0,-0.5580645161290323
Toronto,2023,1,1.5548387096774194,-3.293548387096774,77.4,36.2,-0.8741935483870968
Toronto,2023,2,2.996428571428571,-5.796428571428572,73.3,28.9,-1.4035714285714285
Toronto,2023,3,4.393548387096774,-2.648387096774193,90.0,44.6,0.8741935483870968
Toronto,2023,4,14.120000000000001,3.9233333333333333,101.8,0.4,9.046666666666665
Toronto,2023,5,19.396774193548385,7.590322580645162,58.8,0.0,13.519354838709678
Toronto,2023,6,24.206666666666667,14.613333333333333,108.0,0.0,19.433333333333334
Toronto,2023,7,27.148387096774194,17.074193548387097,103.80000000000001,0.0,22.138709677419353
Toronto,2023,8,24.780645161290323,15.303225806451612,59.199999999999996,0.0,20.05806451612903
Toronto,2023,9,23.68,13.419956624605678,11.200000000000001,0.0,18.420608809993425
Toronto,2023,10,16.787096774193547,8.387096774193548,40.1,0.0,12.612903225806452
Toronto,2023,11,8.106666666666666,-0.2733333333333333,54.199999999999996,3.2,3.93
Toronto,2023,12,5.17741935483871,0.21612903225806443,80.3,9.8,2.7193548387096773
Toronto,2024,1,0.3419354838709677,-4.54516129032258,99.6,27.4,-2.109677419354839
Toronto,2024,2,4.827586206896552,-4.5103448275862075,33.6,8.200000000000001,0.15862068965517243
Toronto,2024,3,8.058064516129031,-0.7064516129032259,56.7,18.2,3.6903225806451614
Toronto,2024,4,12.863333333333333,4.113333333333333,135.5,0.2,8.51
Toronto,2024,5,21.403225806451612,11.351612903225806,76.8,0.0,16.403225806451612
Toronto,2024,6,24.876666666666665,15.19,114.1,0.0,20.05666666666667
Toronto,2024,7,27.458064516129035,17.529032258064515,215.4,0.0,22.519354838709678
Toronto,2024,8,25.60660667530949,15.651570927037755,181.8,0.0,20.652202074187183
Toronto,2024,9,23.716666666666665,13.863333333333333,98.5,0.0,18.816666666666666
Toronto,2024,10,17.322580645161292,6.261290322580645,29.5,0.0,11.819354838709677
Toronto,2024,11,10.053333333333335,2.4466666666666668,39.300000000000004,0.2,6.276666666666667
Toronto,2024,12,2.5,-3.725806451612903,64.4,22.2,-0.6129032258064516
Vancouver,2018,1,7.519354838709678,3.1419354838709674,249.4,0.0,5.351612903225806
Vancouver,2018,2,6.089285714285714,0.6071428571428571,105.8,25.8,3.3535714285714286
Vancouver,2018,3,9.538709677419355,2.487096774193548,111.80000000000001,0.0,6.048387096774194
Vancouver,2018,4,12.629999999999999,5.819999999999999,134.8,0.0,9.243333333333334
Vancouver,2018,5,19.15806451612903,10.47741935483871,1.6,0.0,14.845161290322581
